device,control_id,title,severity,status,finding,owner,ticket,due_date
aaa_config_01,control_00008,ACL for VTY,High,FAIL,"ACL 'ACME_VTY_MGMT_ACL' rule #1: expected 'permit ip any any', found 'deny   ip any 173.245.48.0 0.0.15.255'.",,,
aaa_config_01,control_00014,VTY Lines,High,FAIL,'line vty 0 15': password is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
aaa_config_02,control_00003,AAA,High,FAIL,Required AAA command missing (expected to match '^aaa accounting exec default start-stop group \S+').; Required AAA command missing (expected to match '^aaa accounting commands 1 default start-stop group \S+').; Required AAA command missing (expected to match '^aaa accounting commands 15 default start-stop group \S+').,,,
aaa_config_02,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
aaa_config_03,control_00003,AAA,High,FAIL,"AAA commands reference inconsistent TACACS groups: ['ACME_TACACS_GROUP', 'ACME_TACACS_SERVER_GROUP'].",,,
aaa_config_03,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
aaa_config_04,control_00003,AAA,High,FAIL,Required AAA command missing (expected to match '^aaa authentication login default group \S+ local').,,,
aaa_config_04,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
aaa_config_05,control_00003,AAA,High,FAIL,Required AAA command missing (expected to match '^aaa authorization commands 1 default group \S+ if-authenticated').,,,
aaa_config_05,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
acl_vty_config_01,control_00008,ACL for VTY,High,FAIL,No 'ip access-list extended' block found in the running configuration.,,,
acl_vty_config_01,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.; ACL 'ACME_VTY_MGMT_ACL' referenced by access-class was not found in the configuration.,,,
acl_vty_config_02,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.; 'line vty 0 15': no 'access-class' ACL is bound to this VTY line.,,,
acl_vty_config_03,control_00008,ACL for VTY,High,FAIL,ACL name 'ACME_VTY_MGT_ACL' does not match the corporate ACL name 'ACME_VTY_MGMT_ACL'.,,,
acl_vty_config_03,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.; ACL 'ACME_VTY_MGMT_ACL' referenced by access-class was not found in the configuration.,,,
acl_vty_config_04,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
acl_vty_config_05,control_00008,ACL for VTY,High,FAIL,"ACL 'ACME_VTY_MGMT_ACL' rule #1: expected 'permit ip any any', found 'permit ip 0.0.0.0 255.255.255.255 any'.",,,
acl_vty_config_05,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
banner_config_01,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
banner_config_02,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
banner_config_03,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
banner_config_04,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
banner_config_05,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
